KEF,BIKF,7191452,6861124686,0.754
SWA,ZGOW,7190275,6868314961,0.755
FOR,SBFZ,7187111,6875502072,0.756
MED,OEMA,7178629,6882680701,0.757
NTE,LFRS,7170709,6889851410,0.757
XNN,ZLXN,7099438,6896950848,0.758
ACE,GCRR,6979532,6903930380,0.759
SOF,LBSF,6963889,6910894269,0.76
JAX,KJAX,6931436,6917825705,0.761
LCA,LCLK,6904866,6924730571,0.761
LJG,ZPLJ,6892636,6931623207,0.762
CHC,NZCH,6874486,6938497693,0.763
RGN,VYYY,6872121,6945369814,0.764
PUJ,MDPC,6841781,6952211595,0.764
PMO,LICJ,6819276,6959030871,0.765
PBI,KPBI,6816931,6965847802,0.766
SKG,LGTS,6805688,6972653490,0.767
MKE,KMKE,6797626,6979451116,0.767
KTM,VNKT,6794242,6986245358,0.768
KHI,OPKC,6743360,6992988718,0.769
TSA,RCSS,6735329,6999724047,0.77
BDL,KBDL,6705110,7006429157,0.77
CXR,VVCR,6692392,7013121549,0.771
HLP,WIHH,6642868,7019764417,0.772
LIN,LIML,6562480,7026326897,0.772
OOL,YBCG,6550846,7032877743,0.773
LOS,DNMM,6523251,7039400994,0.774
PNH,VDPP,6495219,7045896213,0.775
WLG,NZWN,6490298,7052386511,0.775
GOT,ESGG,6474152,7058860663,0.776
RAK,GMMX,6465922,7065326585,0.777
BPN,WALL,6457597,7071784182,0.777
GAU,VEGT,6444321,7078228503,0.778
CWB,SBCT,6404129,7084632632,0.779
HER,LGIR,6359571,7090992203,0.78
TUN,DTTA,6352658,7097344861,0.78
BFS,EGAA,6311808,7103656669,0.781
BGO,ENBR,6295046,7109951715,0.782
OVB,UNNT,6282327,7116234042,0.782
EIN,EHEH,6246233,7122480275,0.783
IKA,OIIE,6158411,7128638686,0.784
HAJ,EDDV,6126444,7134765130,0.784
KCH,WBGG,6075980,7140841110,0.785
BUR,KBUR,5983659,7146824769,0.786
CIA,LIRA,5934023,7152758792,0.786
TFN,GCXO,5867989,7158626781,0.787
BIO,LEBB,5854377,7164481158,0.788
LKO,VILK,5755619,7170236777,0.788
BEG,LYBE,5754355,7175991132,0.789
AER,URSS,5723053,7181714185,0.79
HAV,MUHA,5698703,7187412888,0.79
KOJ,RJFK,5624711,7193037599,0.791
ALA,UAAA,5603034,7198640633,0.791
DUR,FALE,5593789,7204234422,0.792
SJO,MROC,5579190,7209813612,0.793
BRI,LIBD,5578022,7215391634,0.793
PSA,LIRP,5508061,7220899695,0.794
ONT,KONT,5471686,7226371381,0.794
CTG,SKCG,5467911,7231839292,0.795
CLO,SKCL,5440490,7237279782,0.796
ANC,PANC,5436694,7242716476,0.796
SVX,USSS,5423272,7248139748,0.797
JAI,VIJP,5409687,7253549435,0.797
NAY,ZBNY,5381134,7258930569,0.798
SJD,MMSD,5344065,7264274634,0.799
UIO,SEQM,5335389,7269610023,0.799
ISB,OPIS,5305676,7274915699,0.8
YOW,CYOW,5286264,7280201963,0.8
ABQ,KABQ,5246967,7285448930,0.801
FUE,GCFV,5230082,7290679012,0.802
NCL,EGNT,5187501,7295866513,0.802
LCY,EGLC,5174544,7301041057,0.803
GDN,EPGD,5138907,7306179964,0.803
MLE,VRMM,5138735,7311318699,0.804
CNS,YBCS,5105812,7316424511,0.804
BTH,WIDD,5102801,7321527312,0.805
JHG,ZPJH,5081714,7326609026,0.806
LPL,EGGP,5034632,7331643658,0.806
PLM,WIPP,4992539,7336636197,0.807
OMA,KOMA,4960315,7341596512,0.807
ADA,LTAF,4959546,7346556058,0.808
BUF,KBUF,4936861,7351492919,0.808
SRG,WARS,4895409,7356388328,0.809
SAL,MSLP,4892963,7361281291,0.809
PVR,MMPR,4819812,7366101103,0.81
TAE,RKTN,4819186,7370920289,0.81
LHE,OPLA,4797743,7375718032,0.811
CAG,LIEE,4785045,7380503077,0.811
CHS,KCHS,4747310,7385250387,0.812
LXA,ZULS,4713453,7389963840,0.812
EMA,EGNX,4702106,7394665946,0.813
MBJ,MKJS,4680829,7399346775,0.814
MEM,KMEM,4663801,7404010576,0.814
JHB,WMKJ,4630222,7408640798,0.815
SIP,UKFF,4606917,7413247715,0.815
HRG,HEGN,4596959,7417844674,0.816
DVO,RPMD,4563003,7422407677,0.816
PAT,VEPT,4535850,7426943527,0.817
REP,VDSR,4495468,7431438995,0.817
TAS,UTTT,4422246,7435861241,0.818
MSQ,UMMS,4412642,7440273883,0.818
TSE,UACC,4389848,7444663731,0.818
RIC,KRIC,4379183,7449042914,0.819
GYD,UBBB,4374717,7453417631,0.819
YWG,CYWG,4357894,7457775525,0.82
VNO,EYVI,4355961,7462131486,0.82
RNO,KRNO,4347453,7466478939,0.821
TRD,ENVA,4312365,7470791304,0.821
OKC,KOKC,4298654,7475089958,0.822
LUX,ELLX,4271812,7479361770,0.822
KRR,URKK,4255338,7483617108,0.823
YHZ,CYHZ,4250754,7487867862,0.823
CRK,RPLC,4209790,7492077652,0.824
RHO,LGRP,4184841,7496262493,0.824
SDQ,MDSD,4157871,7500420364,0.825
SDF,KSDF,4130552,7504550916,0.825
BOI,KBOI,4116610,7508667526,0.826
ABV,DNAA,4110600,7512778126,0.826
SVG,ENZV,4108854,7516886980,0.826
NUE,EDDN,4088807,7520975787,0.827
ORF,KORF,4063086,7525038873,0.827
BBI,VEBS,4059867,7529098740,0.828
TRN,LIMF,4057459,7533156199,0.828
MHD,OIMM,4047866,7537204065,0.829
BVA,LFOB,4020847,7541224912,0.829
GYE,SEGU,4005382,7545230294,0.83
LBA,EGNM,4000937,7549231231,0.83
PNK,WIOO,3980877,7553212108,0.83
DLM,LTBS,3970716,7557182824,0.831
PVD,KPVD,3966327,7561149151,0.831
TRV,VOTV,3938500,7565087651,0.832
MIG,ZUMY,3938172,7569025823,0.832
CUZ,SPZO,3902008,7572927831,0.833
GEG,KGEG,3888506,7576816337,0.833
TBS,UGTB,3847816,7580664153,0.833
NAS,MYNN,3824229,7584488382,0.834
AHB,OEAB,3822444,7588310826,0.834
KOA,PHKO,3795347,7592106173,0.835
HDY,VTSS,3774748,7595880921,0.835
ECN,LCEN,3774631,7599655552,0.836
MRU,FIMP,3763471,7603419023,0.836
KBV,VTSG,3763262,7607182285,0.836
FLN,SBFL,3763030,7610945315,0.837
GUM,PGUM,3745017,7614690332,0.837
BJV,LTFE,3683024,7618373356,0.838
KTW,EPKT,3675405,7622048761,0.838
TUS,KTUS,3668314,7625717075,0.838
TZX,LTCG,3630047,7629347122,0.839
CCJ,VOCL,3613240,7632960362,0.839
GRR,KGRR,3582595,7636542957,0.84
CZX,ZSCG,3575215,7640118172,0.84
PKU,WIBB,3540594,7643658766,0.84
BEL,SBBE,3526723,7647185489,0.841
VRN,LIPX,3504914,7650690403,0.841
BDJ,WAOO,3496493,7654186896,0.842
PDG,WIPT,3491869,7657678765,0.842
LGB,KLGB,3486258,7661165023,0.842
VVI,SLVR,3477271,7664642294,0.843
ELP,KELP,3437097,7668079391,0.843
TSF,LIPH,3426206,7671505597,0.843
COR,SACO,3415790,7674921387,0.844
TIA,LATI,3412110,7678333497,0.844
ZAG,LDZA,3378569,7681712066,0.845
PQC,VVPQ,3375671,7685087737,0.845
MAH,LEMH,3349313,7688437050,0.845
IXB,VEBD,3346595,7691783645,0.846
BGW,ORBI,3339960,7695123605,0.846
CBR,YSCB,3316509,7698440114,0.846
SDJ,RJSS,3310051,7701750165,0.847
GUA,MGGT,3269418,7705019583,0.847
NAG,VANP,3258134,7708277717,0.847
VIX,SBVT,3252856,7711530573,0.848
VNS,VIBN,3224518,7714755091,0.848
LIH,PHLI,3223957,7717979048,0.849
POS,TTPP,3206800,7721185848,0.849
LOP,WADL,3206000,7724391848,0.849
WRO,EPWR,3185753,7727577601,0.85
BDO,WICC,3183514,7730761115,0.85
GYN,SBGO,3177287,7733938402,0.85
IDR,VAID,3175633,7737114035,0.851
VVO,UHWW,3159806,7740273841,0.851
CJB,VOCB,3152576,7743426417,0.851
BLL,EKBI,3149345,7746575762,0.852
SFB,KSFB,3136784,7749712546,0.852
OLB,LIEO,3087470,7752800016,0.852
KNH,RCBS,3084174,7755884190,0.853
KRT,HSSS,3082656,7758966846,0.853
WMI,EPMO,3063370,7762030216,0.853
MZG,RCQC,3063275,7765093491,0.854
SPU,LDSP,3063164,7768156655,0.854
ZHA,ZGZJ,3049134,7771205789,0.854
KMJ,RJFT,3046930,7774252719,0.855
BHM,KBHM,3042018,7777294737,0.855
ALB,KALB,3041722,7780336459,0.855
SXR,VISR,3036320,7783372779,0.856
TUL,KTUL,3029281,7786402060,0.856
NTG,ZSNT,3023399,7789425459,0.856
SUF,LICA,3014337,7792439796,0.857
EVN,UDYZ,3012918,7795452714,0.857
UKB,RJBE,2997324,7798450038,0.857
LGK,WMKL,2995969,7801446007,0.858
CGB,SBCY,2959999,7804406006,0.858
MYJ,RJOM,2957327,7807363333,0.858
RMQ,RCMQ,2955960,7810319293,0.859
NGS,RJFU,2953709,7813273002,0.859
MAO,SBEG,2953381,7816226383,0.859
KIV,LUKK,2945653,7819172036,0.86
VTZ,VEVZ,2933543,7822105579,0.86
YIH,ZHYC,2931862,7825037441,0.86
SAV,KSAV,2931109,7827968550,0.861
KZN,UWKD,2924751,7830893301,0.861
CFU,LGKR,2923640,7833816941,0.861
CCS,SVMI,2897854,7836714795,0.862
YTZ,CYTZ,2895092,7839609887,0.862
FNC,LPMA,2890064,7842499951,0.862
HIJ,RJOA,2875902,7845375853,0.863
DSM,KDSM,2874857,7848250710,0.863
TLL,EETN,2874641,7851125351,0.863
ILO,RPVI,2864962,7853990313,0.863
SCQ,LEST,2860657,7856850970,0.864
FLR,LIRQ,2855139,7859706109,0.864
