IATACode, 2019Passengers 
ELP," 3,437,097 "
TSF," 3,426,206 "
COR," 3,415,790 "
TIA," 3,412,110 "
ZAG," 3,378,569 "
PQC," 3,375,671 "
MAH," 3,349,313 "
IXB," 3,346,595 "
BGW," 3,339,960 "
CBR," 3,316,509 "
SDJ," 3,310,051 "
GUA," 3,269,418 "
NAG," 3,258,134 "
VIX," 3,252,856 "
VNS," 3,224,518 "
LIH," 3,223,957 "
POS," 3,206,800 "
LOP," 3,206,000 "
WRO," 3,185,753 "
BDO," 3,183,514 "
GYN," 3,177,287 "
IDR," 3,175,633 "
VVO," 3,159,806 "
CJB," 3,152,576 "
BLL," 3,149,345 "
SFB," 3,136,784 "
OLB," 3,087,470 "
KNH," 3,084,174 "
KRT," 3,082,656 "
WMI," 3,063,370 "
MZG," 3,063,275 "
SPU," 3,063,164 "
ZHA," 3,049,134 "
KMJ," 3,046,930 "
BHM," 3,042,018 "
ALB," 3,041,722 "
SXR," 3,036,320 "
TUL," 3,029,281 "
NTG," 3,023,399 "
SUF," 3,014,337 "
EVN," 3,012,918 "
UKB," 2,997,324 "
LGK," 2,995,969 "
CGB," 2,959,999 "
MYJ," 2,957,327 "
RMQ," 2,955,960 "
NGS," 2,953,709 "
MAO," 2,953,381 "
KIV," 2,945,653 "
VTZ," 2,933,543 "
YIH," 2,931,862 "
SAV," 2,931,109 "
KZN," 2,924,751 "
CFU," 2,923,640 "
CCS," 2,897,854 "
YTZ," 2,895,092 "
FNC," 2,890,064 "
HIJ," 2,875,902 "
DSM," 2,874,857 "
TLL," 2,874,641 "
ILO," 2,864,962 "
SCQ," 2,860,657 "
FLR," 2,855,139 "
CEI," 2,838,785 "
PFO," 2,835,643 "
ROV," 2,834,417 "
MDC," 2,827,216 "
CJJ," 2,814,909 "
SZB," 2,813,650 "
ACC," 2,813,125 "
HBA," 2,802,091 "
ATQ," 2,797,855 "
WEH," 2,793,882 "
DJJ," 2,760,181 "
CLJ," 2,754,203 "
LPB," 2,753,575 "
DYG," 2,748,004 "
MID," 2,734,840 "
DBV," 2,729,472 "
XUZ," 2,728,197 "
BAQ," 2,720,493 "
DTM," 2,720,203 "
AUA," 2,714,119 "
BJX," 2,691,570 "
HUZ," 2,686,863 "
BDS," 2,652,033 "
IEV," 2,628,973 "
PSP," 2,627,646 "
KUF," 2,626,652 "
BMA," 2,615,410 "
KMI," 2,612,574 "
MYR," 2,584,760 "
ROC," 2,581,217 "
SYR," 2,568,727 "
ORK," 2,560,180 "
UFA," 2,557,631 "
IXR," 2,550,420 "
YTY," 2,549,626 "
DSS," 2,543,807 "
UTH," 2,540,981 "
KLO," 2,537,394 "
VTE," 2,522,633 "
GSP," 2,517,880 "
KHG," 2,512,387 "
CBB," 2,511,241 "
HPH," 2,508,772 "
HLD," 2,502,814 "
NAN," 2,483,476 "
BHD," 2,481,005 "
TYS," 2,461,754 "
MYY," 2,459,291 "
YCU," 2,433,573 "
ABZ," 2,431,143 "
CUL," 2,420,469 "
LEJ," 2,420,264 "
ISG," 2,419,903 "
ZQN," 2,414,880 "
GZT," 2,410,416 "
BHY," 2,408,445 "
NYO," 2,407,717 "
DSN," 2,403,087 "
UYN," 2,390,163 "
BGI," 2,388,028 "
IKT," 2,381,899 "
RUN," 2,371,229 "
TKG," 2,353,287 "
MRV," 2,345,791 "
GIZ," 2,335,100 "
RPR," 2,334,958 "
KJA," 2,332,943 "
IXC," 2,325,003 "
KRL," 2,321,679 "
SKP," 2,320,901 "
CJC," 2,320,772 "
MSN," 2,307,681 "
IGU," 2,302,212 "
NAT," 2,300,168 "
DAR," 2,286,669 "
CGY," 2,284,675 "
ABJ," 2,284,119 "
ASB," 2,282,769 "
SMR," 2,274,915 "
PPS," 2,269,295 "
USM," 2,269,030 "
TOS," 2,265,899 "
KGD," 2,253,266 "
PNS," 2,251,337 "
YLW," 2,242,616 "
ANF," 2,241,368 "
BRE," 2,236,196 "
PTP," 2,235,974 "
PIE," 2,231,653 "
KOE," 2,230,839 "
CHQ," 2,227,550 "
MDZ," 2,227,152 "
PRN," 2,226,110 "
KBL," 2,224,128 "
KGS," 2,215,082 "
PWM," 2,215,027 "
JTR," 2,207,917 "
LIT," 2,205,613 "
ASR," 2,202,432 "
HBE," 2,190,190 "
LYI," 2,169,840 "
DRW," 2,169,007 "
LAD," 2,161,155 "
GSO," 2,157,064 "
TRF," 2,153,760 "
LUM," 2,149,261 "
BAV," 2,139,843 "
ADZ," 2,139,513 "
MDL," 2,132,637 "
SOC," 2,127,295 "
KHV," 2,124,413 "
KOS," 2,119,562 "
BTS," 2,111,321 "
MCZ," 2,106,702 "
TAK," 2,106,178 "
LIL," 2,103,589 "
SYZ," 2,096,960 "
HIA," 2,095,781 "
SSH," 2,080,696 "
BZE," 2,073,260 "
AGA," 2,071,565 "
YYJ," 2,063,641 "
PGK," 2,061,284 "
SOQ," 2,023,814 "
YNZ," 2,016,677 "
HLA," 2,001,709 "
VII," 2,000,935 "
FRU," 1,995,984 "
MVD," 1,995,463 "
SEN," 1,981,757 "
YIW," 1,976,947 "
MMX," 1,975,299 "
BOJ," 1,974,365 "
KWJ," 1,955,077 "
FDF," 1,953,241 "
MPH," 1,950,609 "
IXE," 1,950,478 "
POM," 1,945,490 "
MPL," 1,938,943 "
KKC," 1,938,013 "
DLU," 1,937,094 "
FAT," 1,935,967 "
TJM," 1,933,462 "
AQP," 1,924,501 "
BGA," 1,923,824 "
POZ," 1,899,746 "
ZYI," 1,896,527 "
NVT," 1,893,171 "
EBL," 1,889,879 "
NJF," 1,886,037 "
SRQ," 1,884,887 "
HUI," 1,877,804 "
PEI," 1,876,244 "
YQB," 1,875,618 "
URT," 1,863,609 "
SBW," 1,860,881 "
GRO," 1,859,729 "
DLI," 1,859,326 "
YNJ," 1,857,486 "
PMC," 1,850,578 "
KBR," 1,843,449 "
BWN," 1,842,088 "
CGP," 1,839,904 "
IXZ," 1,825,167 "
LZO," 1,822,575 "
ORN," 1,816,471 "
TSV," 1,816,049 "
HMO," 1,810,078 "
STV," 1,809,389 "
PDL," 1,799,060 "
BPS," 1,798,720 "
TWU," 1,782,606 "
BOO," 1,775,671 "
XNA," 1,773,991 "
SOU," 1,773,985 "
KIN," 1,768,780 "
AKU," 1,768,352 "
PLZ," 1,766,846 "
UBP," 1,751,766 "
AZA," 1,750,231 "
PKX," 1,749,570 "
MHT," 1,746,198 "
IXJ," 1,744,905 "
FMM," 1,742,908 "
EBB," 1,741,148 "
LJU," 1,732,613 "
ICT," 1,731,442 "
DAY," 1,727,670 "
LWO," 1,719,519 "
TUU," 1,705,963 "
CIF," 1,703,403 "
HPN," 1,701,222 "
BCD," 1,699,922 "
RTM," 1,698,175 "
TRZ," 1,691,654 "
DIY," 1,688,339 "
COS," 1,684,329 "
CUU," 1,680,937 "
JER," 1,677,628 "
MMY," 1,676,564 "
KOW," 1,671,074 "
KCZ," 1,667,252 "
KMQ," 1,666,736 "
STI," 1,663,409 "
SGC," 1,662,541 "
CCP," 1,657,037 "
HTN," 1,654,071 "
SLZ," 1,653,662 "
OIT," 1,642,443 "
CWL," 1,641,606 "
VPS," 1,633,798 "
DJB," 1,631,008 "
PLW," 1,622,252 "
IXM," 1,618,840 "
SZG," 1,614,877 "
XFN," 1,614,304 "
TSR," 1,604,084 "
YXE," 1,602,395 "
LYG," 1,593,764 "
PGD," 1,593,448 "
AVL," 1,589,404 "
CJS," 1,587,308 "
YIN," 1,585,960 "
TRK," 1,581,315 "
LZH," 1,579,105 "
SNN," 1,577,459 "
FEZ," 1,576,580 "
IQQ," 1,574,247 "
BZN," 1,570,473 "
OKJ," 1,554,119 "
ELQ," 1,553,529 "
UTP," 1,552,425 "
ISP," 1,549,163 "
CGR," 1,548,869 "
BRC," 1,545,345 "
GOA," 1,526,441 "
CNN," 1,518,834 "
JMK," 1,516,629 "
ODS," 1,515,966 "
YYT," 1,515,609 "
AJA," 1,511,282 "
DJE," 1,503,396 "
DRS," 1,497,031 "
CEK," 1,495,842 "
MDT," 1,495,697 "
AAQ," 1,495,382 "
PEE," 1,492,417 "
SPC," 1,476,324 "
VER," 1,475,681 "
TGZ," 1,475,559 "
DWC," 1,469,517 "
VAR," 1,468,738 "
AAL," 1,458,548 "
ASU," 1,458,327 "
HHN," 1,456,830 "
BIA," 1,453,757 "
UDR," 1,450,379 "
AXT," 1,445,633 "
TCZ," 1,443,940 "
SXB," 1,433,328 "
SXM," 1,433,184 "
SZF," 1,431,990 "
LST," 1,425,753 "
KGL," 1,423,194 "
HKD," 1,421,158 "
UIH," 1,420,053 "
DED," 1,419,239 "
HSN," 1,417,666 "
HSV," 1,413,337 "
ZIA," 1,409,851 "
LEX," 1,408,048 "
DYU," 1,406,197 "
AMQ," 1,405,597 "
VCA," 1,405,003 "
IXA," 1,404,584 "
ZTH," 1,401,358 "
MCX," 1,398,288 "
LYA," 1,397,507 "
TNG," 1,396,396 "
CUR," 1,391,668 "
OVD," 1,390,431 "
DSA," 1,387,590 "
TAG," 1,386,155 "
BTV," 1,381,491 "
IGR," 1,379,887 "
OSS," 1,371,603 "
GCM," 1,370,904 "
BHO," 1,369,297 "
PEW," 1,362,666 "
VAN," 1,361,219 "
AHO," 1,360,170 "
MAF," 1,356,454 "
SLL," 1,355,037 "
JPA," 1,354,504 "
TKS," 1,353,319 "
NTL," 1,349,950 "
MBA," 1,348,830 "
CID," 1,338,928 "
LCG," 1,335,511 "
WMT," 1,334,011 "
FKB," 1,332,350 "
TAC," 1,329,759 "
PAP," 1,325,615 "
IMF," 1,324,380 "
STT," 1,323,192 "
HAS," 1,320,065 "
CAE," 1,319,464 "
PUQ," 1,317,581 "
MCY," 1,317,503 "
SEZ," 1,301,952 "
VRA," 1,298,369 "
MIR," 1,296,504 "
NST," 1,286,598 "
SLA," 1,285,782 "
WDS," 1,282,942 "
SID," 1,280,909 "
ENH," 1,272,121 "
